r1,r2,r3,r4,t,d1,d2,h,p,freq_ghz,rotation
42.8,40.8,34.8,20.0,1.0,3.0,2.0,5.0,35.0,1.0,0
42.7,40.7,34.7,20.0,1.0,3.0,2.0,4.96,34.0,1.2,0
34.0,32.0,28.0,20.0,1.0,3.0,2.0,2.0,32.0,1.4,0
31.0,29.0,25.0,20.0,1.0,3.0,2.0,0.8,30.0,1.6,0
28.0,26.0,22.0,17.0,1.0,3.0,2.0,0.8,28.0,1.8,0
25.0,23.0,17.0,6.0,1.0,3.0,2.0,1.5,30.0,2.0,0
24.0,22.0,14.0,6.0,1.0,3.0,2.0,1.79,20.0,2.2,0
22.0,20.0,14.0,6.0,1.0,3.0,2.0,2.14,22.0,2.4,0
20.0,18.0,12.0,6.0,1.0,3.0,2.0,0.9,24.0,2.6,0
18.2,16.2,11.6,6.0,1.0,3.0,2.0,1.6,18.0,2.8,0
17.0,15.0,11.8,6.0,1.0,3.0,2.0,1.3,25.0,3.0,0
16.3,14.3,11.3,6.0,1.0,3.0,2.0,1.57,20.0,3.2,0
15.6,13.6,10.6,6.0,1.0,3.0,2.0,0.64,16.0,3.4,0
14.8,12.8,9.9,6.0,1.0,3.0,2.0,1.18,14.0,3.6,0
14.3,12.3,9.4,6.0,1.0,3.0,2.0,0.87,14.0,3.8,0
13.0,11.0,9.5,6.0,1.0,3.0,2.0,1.1,15.0,4.0,0
12.8,10.8,9.3,6.0,1.0,3.0,2.0,1.37,12.0,4.2,0
12.4,10.4,9.0,5.5,1.0,3.0,2.0,1.17,13.0,4.4,0
12.3,10.3,8.5,5.5,1.0,3.0,2.0,1.1,15.5,4.6,0
11.8,9.8,8.0,5.5,1.0,3.0,2.0,1.17,12.5,4.8,0
12.3,10.3,8.8,6.0,1.0,3.0,2.0,0.63,12.0,5.0,0
11.1,9.1,7.1,5.0,1.0,3.0,2.0,1.28,10.5,5.2,0
10.6,8.6,6.8,4.0,1.0,3.0,2.0,0.98,9.0,5.4,0
10.3,8.3,6.6,4.0,1.0,3.0,2.0,0.82,8.0,5.6,0
10.0,8.0,6.5,4.0,1.0,3.0,2.0,0.65,7.0,5.8,0
9.4,7.4,6.4,4.0,1.0,3.0,2.0,0.44,11.0,6.0,0
9.2,7.2,6.2,3.0,1.0,3.0,2.0,1.86,11.0,6.2,0
9.0,7.0,6.0,3.0,1.0,3.0,2.0,1.7,10.5,6.4,0
8.8,6.8,5.8,3.0,1.0,3.0,2.0,1.65,9.5,6.6,0
8.7,6.7,5.7,3.0,1.0,3.0,2.0,1.19,8.5,6.8,0
9.5,7.5,5.3,3.5,1.0,1.0,2.0,1.5,9.0,7.0,0
9.5,7.5,5.3,3.0,1.0,1.0,2.0,1.32,7.5,7.2,0
9.4,7.4,5.3,3.0,1.0,1.0,2.0,0.93,7.5,7.4,0
9.2,7.2,5.2,3.0,1.0,1.0,2.0,0.95,7.0,7.6,0
9.1,7.1,5.1,3.0,1.0,1.0,2.0,0.89,6.5,7.8,0
8.0,6.0,5.0,3.0,1.0,1.0,2.0,1.0,8.0,8.0,0
8.0,6.0,5.0,3.0,1.0,1.0,2.0,1.05,8.0,8.2,0
8.0,6.0,5.0,3.0,1.0,1.0,2.0,1.01,5.5,8.4,0
7.9,5.9,4.9,3.0,1.0,1.0,2.0,0.95,5.5,8.6,0
7.8,5.8,4.8,3.0,1.0,1.0,2.0,0.94,5.0,8.8,0
7.7,5.7,4.7,3.0,1.0,1.0,2.0,0.72,7.5,9.0,0
7.7,5.7,4.7,3.0,1.0,1.0,2.0,0.8,4.5,9.2,0
7.6,5.6,4.6,3.0,1.0,1.0,2.0,0.7,4.5,9.4,0
7.5,5.5,4.5,3.0,1.0,1.0,2.0,0.71,4.0,9.6,0
7.5,5.5,4.5,3.0,1.0,1.0,2.0,0.53,4.0,9.8,0
7.4,5.4,4.4,2.7,1.0,1.0,2.0,0.33,6.5,10.0,0
7.3,5.3,4.3,2.7,1.0,1.0,2.0,0.36,6.5,10.2,0
7.2,5.2,4.2,2.5,1.0,1.0,2.0,0.64,3.5,10.4,0
7.1,5.1,4.1,2.5,1.0,1.0,2.0,0.64,3.5,10.6,0
7.0,5.0,4.0,2.5,1.0,1.0,2.0,0.709,3.0,10.8,0
7.0,5.0,4.0,2.5,1.0,1.0,2.0,0.31,6.0,11.0,0
7.0,5.0,3.8,2.0,1.0,1.0,2.0,0.54,5.0,11.2,0
7.0,5.0,3.8,2.0,1.0,1.0,2.0,0.37,5.0,11.4,0
6.9,4.9,3.6,2.0,1.0,1.0,2.0,0.5,6.0,11.6,0
6.9,4.9,3.5,2.0,1.0,1.0,2.0,0.47,6.0,11.8,0
6.7,4.7,3.5,2.0,1.0,1.0,2.0,0.48,6.0,12.0,0
